"ART_CODIGO";"ART_PROV";"ART_SUSTITUTO";"ART_LINEA";"ART_MARCA";"ART_GRUPO";"ART_IMPU";"ART_CODIGO_FABRICA";"ART_DESC";"ART_DESC_ABREV";"ART_UNID_MED";"ART_TIPO";"ART_EMPAQUE";"ART_CONTENIDO";"ART_DATOS_TEC";"ART_FACTOR_CONVERSION";"ART_EST";"ART_COD_ESTADISTICA";"ART_TIPO_COMISION";"ART_IND_IMP";"ART_CUAD_DEMO";"ART_RUBRO";"ART_IND_EN_LINEA";"ART_IND_CON_ROTACION";"ART_COD_ALFANUMERICO";"ART_PAIS";"ART_MINIMO_EXIGIDO_PROV";"ART_SECUENCIA";"ART_KG_UNID";"ART_KG_CONTENIDO";"ART_COLOR";"ART_NRO_MOTOR";"ART_NRO_CHASSIS";"ART_MODELO";"ART_CLAS_SUBGRUPO";"ART_CLASIFICACION";"ART_DPTO";"ART_SECCION";"ART_SECTOR";"ART_MAX_PORC_DCTO_VTA";"ART_M3_CAJA";"ART_CATEG_INDICES";"ART_MAX_PORC_DCTO";"ART_IND_MAX_POR_GRART";"ART_PRECIO_METRO_LINEAL";"ART_IND_COSTO";"ART_IND_M";"ART_IND_P";"ART_IND_V";"ART_IND_E";"ART_PORC_FIJO"
"1";"1570";"";"11";"1";"46";"2";"";"KIT CAMA PORTUGAL 160X190";"KIT CAMA PORTUGAL 160X190";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"233-2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"2";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X11/2";"BULONES ACERO 1/4X11";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X11/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"3";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X2";"BULONES ACERO 1/4X2";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"4";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X21/2";"BULONES ACERO 1/4X21";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X21/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"5";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X3";"BULONES ACERO 1/4X3";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X3";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"6";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X31/2";"BULONES ACERO 1/4X31";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X31/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"7";"392";"";"13";"1";"58";"2";"";"DISCO DIAMANT. 7PULG.SAAME LISO HEMEDO";"DISCO DIAMANT. 7PULG.SAAME LIS";"";"1";"";"";"";"1,000000";"A";"";"N";"";"1";"1";"S";"S";"DD7H";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"S";"";"N";"S";"N";"S";"S";""
"8";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X4";"BULONES ACERO 1/4X4";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X4";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"9";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X41/2";"BULONES ACERO 1/4X41";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X41/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"10";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X5";"BULONES ACERO 1/4X5";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X5";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"11";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X51/2";"BULONES ACERO 1/4X51";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X51/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"12";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 1/4X6";"BULONES ACERO 1/4X6";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC1/4X6";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"13";"392";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X1";"BULONES ACERO 5/16X1";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X1";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"14";"392";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X11/2";"BULONES ACERO 5/16X1";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X11/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"15";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X2";"BULONES ACERO 5/16X2";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"16";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X21/2";"BULONES ACERO 5/16X2";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X21/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"17";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X3";"BULONES ACERO 5/16X3";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X3";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
"18";"384";"";"13";"1";"15";"2";"";"BULONES ACERO 5/16X31/2";"BULONES ACERO 5/16X3";"UN";"1";"";"";"";"1,000000";"A";"";"N";"S";"1";"1";"S";"S";"BAC5/16X31/2";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"N";"";"";"S";"S";""
