"GRUP_LINEA";"GRUP_CODIGO";"GRUP_DESC";"GRUP_COEFICIENTE";"GRUP_DESC_DOS";"GRUP_CAT_INDICES";"GRUP_TASA_FINAN";"GRUP_MAX_PORC_DCTO"
"1";"170";"ECOVILLE";"";"ECO";"";"4,50";""
"1";"171";"EMPALUX";"";"EMP";"";"4,50";""
"1";"144";"TEJAS Y CUMEIRAS";"";"TYC";"";"4,50";""
"1";"146";"PISO ALFAGRES";"";"PA";"";"4,50";""
"11";"145";"ALMIDON";"";"ALM";"";"4,00";""
"1";"64";"DOCOL";"";"DOC";"";"4,50";""
"10";"18";"REPUESTO P/ CAMION";"";"REP";"";"4,50";""
"1";"141";"PISO LUME";"";"LUME";"";"4,50";""
"1";"143";"VENTANA ALUM, ZOCALO";"";"VAB";"";"4,50";""
"1";"119";"CERRAD. PADO";"";"CP";"";"4,50";""
"1";"168";"DECA";"";"DEC";"";"4,50";""
"11";"159";"IMPORTACIONES";"";"USA";"";"4,00";""
"3";"13";"ACOPLADOS";"";"ACO";"";"4,50";""
"11";"12";"CELULARES";"";"CEL";"";"4,00";""
"11";"13";"COCINAS";"";"HGC";"";"4,00";""
"11";"14";"HORNO-MICROONDAS";"";"HGHM";"";"4,00";""
"11";"15";"CHURRASQUERA";"";"HGCH";"";"4,00";""
"11";"16";"LICUADORA";"";"HGL";"";"4,00";""
"4";"98";"LLAVES";"";"LLA";"";"4,50";""
"4";"100";"MANGUERA";"";"MAG";"";"4,50";""
"4";"101";"MAKITA";"";"MAK";"";"4,50";""
"4";"103";"MARTILLOS";"";"MAR";"2";"4,50";""
"4";"104";"MECHAS";"";"MEC";"";"4,50";""
"4";"107";"XXMONTANA";"";"MON";"";"4,50";""
"4";"108";"MOTOR ELECTRICO";"";"MOT";"";"4,50";""
"4";"110";"MOTO Y BICI";"";"MYB";"";"4,50";""
"4";"112";"PESCA Y MARISCA";"";"PES";"";"4,50";""
"4";"119";"PALAS Y GARFOS";"";"PYG";"2";"4,50";""
"4";"121";"ORION";"";"ORN";"";"4,50";""
"4";"127";"RUEDAS";"";"RUE";"";"4,50";""
"4";"129";"SABO RETENES";"";"SAB";"";"4,50";""
"4";"140";"TARAJAS";"";"TAR";"";"4,50";""
"4";"148";"JUGUETES";"";"JUG";"";"4,50";""
"4";"150";"XXUNIOR";"";"UNI";"";"4,50";""
"4";"151";"XXUNRY";"";"UNR";"";"4,50";""
"4";"153";"VISCONDE";"";"VIS";"";"4,50";""
"4";"154";"CANADA";"";"s/d";"";"4,50";""
"14";"12";"FORTALATEX";"";"FLA";"";"4,50";""
"4";"162";"IMPORT.CHINA";"";"ICH";"";"4,50";""
"4";"163";"TRAMONT.HERRAM.";"";"TRH";"";"4,50";""
"5";"156";"ACTIVOS";"";"s/d";"";"4,50";""
"6";"157";"MADERA";"";"MAD";"2";"4,50";""
"9";"9";"PROMOCIONAL";"";"PRO";"";"";""
"2";"1";"PAJUELAS";"";"PAJ";"";"";""
"2";"2";"GANADOS";"";"GAN";"";"";""
"8";"159";"SERVICIOS";"";"SER";"";"0,00";""
"11";"1";"HOGAR AIRE";"";"HAI";"";"4,00";""
"11";"2";"HOGAR GASTRONOMIA";"";"HGA";"";"4,00";""
"11";"3";"NO USAR";"";"HMI";"";"4,00";""
"11";"4";"HOGAR MDF";"";"HMD";"";"4,00";""
"11";"5";"HOGAR REFRIGERACION";"";"HRE";"";"4,00";""
"11";"6";"HOGAR SOFA";"";"HSO";"";"4,00";""
"11";"7";"LAVARROPAS";"";"LA";"";"4,00";""
"1";"156";"FILETES";"";"FI";"";"4,50";""
"1";"157";"LISTELES";"";"LI";"";"4,50";""
"1";"88";"CONSTRUCCION THH";"";"CTHH";"";"4,50";""
"1";"140";"PISO CERA. CASA GDE.";"";"PCCG";"";"4,50";""
"8";"160";"FLETES";"";"FLE";"";"0,00";""
"14";"139";"GLASURIT";"";"GLAS";"";"4,50";""
"1";"150";"INCEPA";"";"INC";"";"4,50";""
"8";"158";"TELEFONIA";"";"TEL";"";"0,00";""
"11";"46";"COLCHONES";"";"COL";"";"4,00";""
"11";"48";"CORTINAS";"";"COO";"2";"4,00";""
"11";"83";"HOGAR";"";"HOG";"2";"4,00";""
"11";"97";"LIMPIEZAS";"";"LIP";"2";"4,00";""
"11";"99";"LUCES VELADORES";"";"LUZ";"";"4,00";""
"11";"109";"MUEBLES";"";"MUE";"2";"4,00";""
"11";"120";"QUIMICOS";"";"QUI";"2";"4,00";""
"11";"147";"TRAMONTINA HOGAR";"";"TRM";"2";"4,00";""
"13";"1";"CORREA 12.5";"";"125";"";"4,50";""
"13";"2";"CORREAS 9.5";"";"9.5";"";"4,50";""
"13";"3";"ABRAZADERAS";"";"ABR";"";"4,50";""
"13";"8";"ACCESORIOS AIRE";"";"AIR";"";"4,50";""
"13";"15";"BULONES ACERO";"";"BAC";"";"4,50";""
"13";"23";"BULONES MADERA";"";"BMA";"";"4,50";""
"13";"24";"BULONES MILIMET";"";"BMI";"";"4,50";""
"13";"25";"BULON MECANICA";"";"BMQ";"";"4,50";""
"13";"28";"BOTAS";"";"BOT";"";"4,50";""
"13";"29";"BULONES";"";"BUL";"";"4,50";""
"13";"30";"CORREA 10";"";"C10";"";"4,50";""
"13";"31";"CORREA 13";"";"C13";"";"4,50";""
"13";"34";"CABOS ACERO";"";"CAC";"";"4,50";""
"13";"35";"CADENAS";"";"CAD";"";"4,50";""
"13";"43";"CORREA A";"";"COA";"";"4,50";""
"13";"44";"CORREA B";"";"COB";"";"4,50";""
"13";"58";"DISC.ESMERIL";"";"DIS";"";"4,50";""
"13";"62";"EXTINTORES";"";"EXT";"";"4,50";""
"13";"73";"GANCHOS";"";"GAN";"";"4,50";""
"13";"78";"GUANTES Y DELAN";"";"GUA";"";"4,50";""
"13";"118";"POLEAS";"";"POL";"";"4,50";""
"13";"122";"REMACHES";"";"REM";"";"4,50";""
"13";"143";"TIRAFONDOS";"";"TIR";"";"4,50";""
"13";"144";"TORNILLOS";"";"TOR";"";"4,50";""
"14";"10";"ALBA";"";"ALB";"";"4,50";""
"14";"53";"DACAR";"";"DAC";"";"4,50";""
"14";"114";"PINTURAS";"";"PIN";"";"4,50";""
"14";"123";"RENNER PINT.";"";"REN";"";"4,50";""
"14";"138";"SUVINIL";"";"SUV";"";"4,50";""
"1";"4";"ACCESORIOS MANGUERAS";"";"ACC";"";"4,50";""
"1";"6";"ADHESIVOS";"";"ADE";"";"4,50";""
"1";"7";"AQUATHERM";"";"AGU";"";"4,50";""
"1";"9";"AISLANTE";"";"AIS";"";"4,50";""
"1";"11";"ALFOMBRA";"";"ALF";"";"4,50";""
"1";"14";"AZULEJOS";"";"AZU";"";"4,50";""
"1";"22";"BISAGRAS";"";"BIS";"";"4,50";""
"1";"27";"BOTIQUIN";"";"BOQ";"";"4,50";""
"1";"32";"CANALETAS";"";"CAA";"";"4,50";""
"1";"33";"CABLE";"";"CAB";"";"4,50";""
"1";"37";"CAÒERIA";"";"CAN";"";"4,50";""
"1";"39";"CERRADURAS Y CAN";"";"CER";"";"4,50";""
"1";"40";"CIELORRASO";"";"CIE";"";"4,50";""
"1";"42";"CLAVOS";"";"CLA";"";"4,50";""
"1";"47";"CONSTRUCCION";"";"CON";"";"4,50";""
"1";"54";"DELTA";"";"DEL";"";"4,50";""
"1";"55";"DESAGUE";"";"DES";"";"4,50";""
"1";"60";"ELECTRICIDAD";"";"ELE";"";"4,50";""
"1";"67";"FOCOS Y TUBOS";"";"FOC";"";"4,50";""
"1";"68";"FORMICA Y CHAPA";"";"FOR";"";"4,50";""
"1";"70";"FV GRIFOS";"";"FVG";"";"4,50";""
"1";"72";"GALVANIZADO";"";"GAL";"";"4,50";""
"1";"77";"GRIFOS";"";"GRI";"";"4,50";""
"1";"79";"XXHAGER";"";"HAG";"";"4,50";""
"1";"87";"INPACO";"";"INP";"";"4,50";""
"1";"102";"MANIJAS P/MUEBLE";"";"MAN";"";"4,50";""
"1";"116";"PISO CERAMICO";"";"PIS";"";"4,50";""
"1";"117";"PISO VINILICO";"";"PIV";"";"4,50";""
"1";"126";"ROSCABLE PLAST.";"";"ROS";"";"4,50";""
"1";"130";"SANITARIOS";"";"SAN";"";"4,50";""
"1";"134";"SOLDABLE";"";"SOL";"";"4,50";""
"1";"139";"TANQUES";"";"TAN";"";"4,50";""
"1";"142";"TERMOTANQUE";"";"TER";"";"4,50";""
"1";"149";"TUBOS";"";"TUB";"";"4,50";""
"1";"152";"VIMAR";"";"VIM";"";"4,50";""
"1";"155";"LOSA";"";"s/d";"";"4,50";""
"4";"16";"BAHCO";"";"BAH";"2";"4,50";""
"4";"18";"BATERIAS";"";"BAT";"";"4,50";""
"4";"26";"BOMBAS";"";"BOM";"";"4,50";""
"4";"38";"CARPAS";"";"CAR";"";"4,50";""
"4";"41";"CINTAS";"";"CIN";"";"4,50";""
"4";"51";"CORTA CESPED";"";"CRT";"";"4,50";""
"4";"56";"DESTORNILLADOR";"";"DET";"";"4,50";""
"4";"57";"VERIFICAR";"";"VER";"";"4,50";""
"4";"61";"ESCALERAS";"";"ESC";"";"4,50";""
"4";"64";"FERRETERIA";"";"FER";"";"4,50";""
"4";"74";"GATOS";"";"GAT";"";"4,50";""
"4";"75";"GEDORE";"";"GED";"";"4,50";""
"4";"81";"HERRAMIENTAS EL";"";"HEE";"";"4,50";""
"4";"82";"HERRAMIENTAS";"";"HER";"";"4,50";""
"4";"84";"HOJAS SIERRAS";"";"HOJ";"";"4,50";""
"4";"89";"XX.";"";"VER";"";"4,50";""
"4";"95";"LIJAS";"";"LIC";"";"4,50";""
"4";"96";"LIMAS";"";"LIM";"";"4,50";""
"1";"1";"VARIOS";"";"";"";"";""
"1";"151";"VARIL.CA—O. CHAPA L.";"";"PAND";"";"4,50";""
"1";"145";"CONSTRUCCION  VOLNEI";"";"VVOL";"";"4,50";""
"4";"139";"PLACAS ADVERT.";"";"PLA";"";"4,50";""
"1";"16";"CIELORRASO PERFIMAX";"";"CP";"";"4,50";""
"11";"150";"HOGAR EQUIPOS SONIDO";"";"HE";"";"4,00";""
"1";"163";"PASTILLA DE VIDRIO";"";"PAS";"";"4,50";""
"4";"152";"CUBIERTAS";"";"CUB";"";"4,50";""
"11";"10";"BEBIDAS";"";"BEB";"";"4,00";""
"11";"11";"ELEKRON";"";"ELEK";"";"4,00";""
"1";"169";"ELEKTRON";"";"ELEK";"";"4,50";""
"1";"158";"CONSTRUCCION H CAT";"";"HCAT";"";"4,50";""
"1";"159";"CONSTRUCCION SEMIC";"";"SEMIC";"";"4,50";""
"1";"160";"BLOQUES";"";"BLOQ";"";"4,50";""
"1";"161";"PUERTAS Y MARCOS";"";"PYM";"";"4,50";""
"11";"143";"MUNDIAL";"";"MUN";"";"4,00";""
"10";"17";"SCANIA";"";"SCA";"";"4,50";""
"11";"8";"MTA HOGAR";"";"MTA";"";"4,00";""
"11";"100";"GALLERY";"";"GA";"";"4,00";""
"1";"162";"PISO ELIZABETH";"";"PELI";"";"4,50";""
"1";"147";"CLAUCOL Y PASTINA";"";"CLAU";"";"4,50";""
"1";"148";"CEMENTO PORLAND";"";"CEM";"";"4,50";""
"1";"153";"LADRILLO";"";"LAD";"";"4,50";""
"1";"154";"CHAPA ETERNIT";"";"CHA";"";"4,50";""
