"LIN_CODIGO";"LIN_DESC";"LIN_DESC_DOS";"LIN_IND_COMISION";"LIN_IND_COSTO"
"3";"ACOPLADOS";"ACOPLADOS";"N";"N"
"9";"PROMOCIONAL";"PROMOCIONAL";"N";"N"
"4";"FERRETERIA";"FERRETERIA";"S";""
"5";"ACTIVO FIJO";"ACTIVO FIJO";"N";""
"1";"CONSTRUCCION";"CONSTRUCCION";"S";""
"6";"ALTONA WOOD";"ALTONA WOOD";"N";""
"2";"GANADERA";"GANADERA";"N";"N"
"8";"SERVICIOS GENERALES";"SERVICIOS GENERALES";"N";""
"7";"AGRICOLA";"AGRICOLA";"N";"N"
"11";"HOGAR";"HOGAR";"S";""
"13";"INDUSTRIAL";"INDUSTRIAL";"S";""
"14";"PINTURA";"PINTURA";"S";""
"10";"TRACTOCAMIONES";"TRACTOCAMIONES";"N";"N"
