"MARC_CODIGO";"MARC_DESC";"MARC_MASCARA";"MARC_FEC_PRIMER_INGRESO";"MARC_DESC_DOS"
"5";"AVARE";"";"16/1/2015";"AVA"
"6";"ALMEIDA";"";"16/1/2015";"ALM"
"12";"ICON";"";"11/8/2017";"ICON"
"1";"MERCANTIL";"";"27/2/2006";"MER"
"2";"ALTONA WOOD";"";"26/5/2011";"ALW"
"3";"AGRICOLA LOMA PIROY";"";"";"ALP"
"4";"CABAÑA LOMA PIROY";"";"1/10/2010";"CLP"
"10";"MAJOPAR";"";"16/2/2015";"MAJO"
"13";"FIORANO";"";"31/7/2017";"FIO"
"14";"CRISTOFOLETTI";"";"7/11/2017";"CRIS"
"15";"SAVANE";"";"2/10/2017";"SAV"
"16";"FORMIGRES";"";"3/10/2017";"FOR"
"17";"ROCHAFORTE";"";"22/11/2017";"ROCH"
"8";"ARTEC";"";"6/2/2015";"ARC"
"9";"CEDASA";"";"6/2/2015";"CEDAS"
"7";"VISTA BELLA";"";"20/1/2015";"VISBE"
"11";"LUME";"";"23/2/2015";"LUM"
